lead_time,market_segment_type,no_of_special_requests,avg_price_per_room,no_of_adults,no_of_weekend_nights,arrival_date,required_car_parking_space,no_of_week_nights,booking_status,arrival_month,cancellation_risk,dynamic_price
6,1,1,136.67,1,1,2018-05-16,0,2,Not_Canceled,5,0.2710916512999798,143.5035
51,0,1,60.0,2,0,2017-11-11,0,4,Not_Canceled,11,0.004379475373959659,63.0
13,1,2,89.0,2,1,2018-06-13,0,0,Not_Canceled,6,0.0,93.45
100,1,1,136.0,2,1,2018-05-19,0,3,Not_Canceled,5,0.27073161019265024,142.8
139,1,1,94.5,2,0,2018-07-28,0,1,Not_Canceled,7,0.179589485761191,99.22500000000001
117,1,2,93.6,2,1,2018-12-26,0,2,Not_Canceled,12,0.4477420603878827,88.91999999999999
39,1,0,120.6,2,1,2018-04-20,0,4,Canceled,4,0.8623477294557798,108.53999999999999
86,1,1,99.3,2,0,2018-04-06,0,3,Not_Canceled,4,0.12573630567866861,104.265
2,1,1,258.0,2,0,2018-09-02,1,1,Not_Canceled,9,0.04909437416902179,270.90000000000003
19,1,2,120.12,1,0,2018-05-03,0,3,Not_Canceled,5,0.0,126.126
192,0,0,95.0,1,0,2018-06-24,0,2,Not_Canceled,6,0.049145115066306005,99.75
2,1,1,0.0,1,0,2017-09-10,0,1,Not_Canceled,9,0.04909437416902179,0.0
86,0,0,75.0,2,2,2018-12-18,0,1,Not_Canceled,12,0.027178625537172502,78.75
30,1,2,157.5,2,0,2018-10-05,0,3,Not_Canceled,10,0.0,165.375
179,1,1,97.7,2,0,2018-06-03,0,2,Not_Canceled,6,0.10842625443487078,102.58500000000001
26,1,0,142.0,2,0,2018-04-15,0,2,Canceled,4,0.8623477294557798,127.8
55,0,0,80.0,2,0,2018-04-06,0,1,Not_Canceled,4,0.0,84.0
74,1,1,85.5,2,1,2018-04-25,0,2,Not_Canceled,4,0.2752194236377152,89.775
143,0,0,100.0,2,0,2018-08-25,0,3,Not_Canceled,8,0.3211368270643458,105.0
34,1,2,88.0,2,1,2018-11-14,0,0,Not_Canceled,11,0.0,92.4
30,1,1,122.85,2,1,2018-08-29,1,1,Not_Canceled,8,0.020156574442349303,128.9925
177,1,0,100.0,2,0,2018-06-03,0,2,Canceled,6,0.9795827172875433,90.0
34,0,0,75.0,2,2,2017-10-25,0,3,Not_Canceled,10,0.053259805714054545,78.75
18,1,1,116.8,2,1,2018-03-09,0,4,Not_Canceled,3,0.3144221331549095,122.64
267,1,0,121.5,3,1,2018-12-31,0,1,Not_Canceled,12,0.0,127.575
64,1,1,111.9,2,1,2018-06-27,0,2,Not_Canceled,6,0.4837976396951592,106.305
155,1,2,121.55,3,2,2018-06-28,0,5,Canceled,6,1.0,109.395
46,0,1,75.0,2,0,2018-03-29,0,5,Not_Canceled,3,0.004379475373959659,78.75
83,1,0,159.3,2,0,2018-04-01,0,2,Canceled,4,0.8623477294557798,143.37
128,1,0,132.3,2,0,2018-10-11,0,5,Canceled,10,0.8623477294557798,119.07000000000001
20,1,2,88.0,2,2,2018-12-25,0,0,Not_Canceled,12,0.0,92.4
40,1,0,98.82,2,1,2018-03-14,0,4,Not_Canceled,3,0.6960048122652049,93.87899999999999
46,1,1,98.3,2,1,2018-03-04,1,2,Not_Canceled,3,0.020156574442349303,103.215
1,1,2,150.0,1,1,2018-10-17,0,0,Not_Canceled,10,0.0,157.5
196,1,1,96.05,2,2,2018-09-04,0,3,Not_Canceled,9,0.3357098529862831,100.8525
188,1,0,130.0,1,0,2018-06-15,0,2,Canceled,6,1.0,117.0
17,1,0,95.0,2,0,2018-12-10,0,1,Not_Canceled,12,0.1737209137079884,99.75
146,0,0,113.56,2,0,2018-08-09,0,3,Not_Canceled,8,0.0,119.23800000000001
110,1,1,101.58,2,1,2018-05-05,0,3,Not_Canceled,5,0.12573630567866861,106.659
68,1,0,105.3,2,1,2018-03-18,1,2,Not_Canceled,3,0.031292397596661956,110.565
73,1,1,115.8,2,2,2018-04-09,0,1,Not_Canceled,4,0.13280358819558152,121.59
92,1,1,149.4,2,0,2018-05-19,0,1,Not_Canceled,5,0.38323078777140107,156.87
171,1,0,111.59,2,2,2018-08-30,0,5,Canceled,8,1.0,100.43100000000001
134,1,2,130.5,2,0,2018-08-04,1,2,Not_Canceled,8,0.16877863348245908,137.025
320,1,1,115.0,2,0,2018-08-18,0,2,Canceled,8,1.0,103.5
118,1,1,90.95,2,0,2018-04-13,0,4,Not_Canceled,4,0.2752194236377152,95.4975
30,1,1,76.08,2,0,2018-11-17,0,3,Not_Canceled,11,0.3144221331549095,79.884
30,1,0,156.9,2,1,2018-12-22,0,3,Not_Canceled,12,0.8209249742289374,141.21
189,1,2,85.5,2,1,2018-10-23,0,0,Not_Canceled,10,0.24416063184445858,89.775
55,1,2,159.3,3,1,2018-05-13,0,2,Not_Canceled,5,0.0,167.26500000000001
55,1,2,74.8,1,0,2018-12-13,0,4,Not_Canceled,12,0.0,78.54
16,1,1,95.0,2,0,2017-10-31,0,1,Not_Canceled,10,0.3144221331549095,99.75
24,1,1,107.0,2,0,2017-10-08,0,3,Not_Canceled,10,0.3144221331549095,112.35000000000001
8,0,0,64.0,2,0,2018-02-16,0,3,Not_Canceled,2,0.0,67.2
10,1,0,82.95,2,1,2017-11-02,1,4,Not_Canceled,11,0.06458256724363177,87.09750000000001
0,1,1,155.0,2,1,2017-09-21,0,3,Not_Canceled,9,0.04909437416902179,162.75
12,1,1,101.68,2,0,2018-06-30,0,1,Not_Canceled,6,0.1658249778111956,106.76400000000001
32,1,3,94.5,2,2,2017-09-05,0,1,Not_Canceled,9,0.0,99.22500000000001
182,1,2,117.9,2,0,2018-09-30,0,2,Canceled,9,1.0,106.11000000000001
1,1,1,127.0,2,1,2018-06-27,0,0,Not_Canceled,6,0.04909437416902179,133.35
122,1,2,116.1,2,0,2018-06-16,0,3,Not_Canceled,6,0.16877863348245908,121.905
40,1,1,117.9,2,2,2018-06-30,0,3,Not_Canceled,6,0.3144221331549095,123.79500000000002
116,1,1,184.24,2,2,2018-06-26,0,2,Canceled,6,0.38323078777140107,193.45200000000003
123,1,1,155.7,3,2,2018-08-13,1,2,Not_Canceled,8,0.020156574442349303,163.48499999999999
40,1,0,135.76,3,2,2018-04-22,0,5,Canceled,4,0.8623477294557798,122.184
105,1,3,102.83,2,2,2018-11-12,0,5,Not_Canceled,11,0.0,107.9715
443,1,0,65.0,2,0,2018-04-29,0,1,Canceled,4,0.9924205568513174,58.5
2,1,1,103.0,2,2,2017-11-14,0,3,Not_Canceled,11,0.04909437416902179,108.15
317,1,1,106.2,2,0,2018-09-01,0,3,Canceled,9,1.0,95.58
286,0,0,58.5,2,0,2018-09-16,0,2,Not_Canceled,9,0.9299026048715912,52.65
68,1,0,73.95,2,1,2018-03-10,0,3,Canceled,3,0.7529346376560372,66.555
148,1,0,105.3,2,0,2018-05-05,0,3,Not_Canceled,5,0.8352941771370453,94.77
68,1,2,133.2,3,2,2018-04-24,0,0,Not_Canceled,4,0.0,139.85999999999999
30,0,0,85.5,2,0,2018-03-30,0,2,Not_Canceled,3,0.0,89.775
14,1,1,112.0,1,0,2018-11-03,0,1,Canceled,11,0.3144221331549095,117.60000000000001
110,1,0,190.8,2,0,2018-10-14,0,2,Canceled,10,0.8623477294557798,171.72000000000003
117,0,0,110.0,1,2,2018-06-05,0,3,Not_Canceled,6,0.0,115.5
85,1,1,91.48,2,1,2018-07-13,0,4,Not_Canceled,7,0.179589485761191,96.054
1,1,2,135.0,2,0,2018-10-20,0,2,Not_Canceled,10,0.0,141.75
25,1,2,129.0,1,1,2018-10-17,0,2,Not_Canceled,10,0.0,135.45000000000002
289,1,2,70.55,2,2,2018-12-28,0,4,Canceled,12,0.4749252713620831,67.0225
28,0,0,75.0,2,1,2017-10-19,0,4,Not_Canceled,10,0.053259805714054545,78.75
80,1,0,72.25,1,0,2018-03-29,0,4,Not_Canceled,3,0.4910398084994754,68.6375
11,1,2,155.0,2,0,2017-10-09,0,1,Not_Canceled,10,0.0,162.75
162,1,2,121.5,2,1,2018-07-25,0,0,Canceled,7,1.0,109.35000000000001
155,1,2,90.95,2,2,2018-06-28,0,5,Not_Canceled,6,0.3357098529862831,95.4975
82,1,0,109.65,1,2,2018-05-22,0,2,Not_Canceled,5,0.8352941771370453,98.685
27,1,0,142.72,3,2,2018-04-15,0,4,Canceled,4,0.8623477294557798,128.448
13,0,0,90.0,1,1,2018-05-09,0,2,Not_Canceled,5,0.06726760563380284,94.5
245,1,0,75.0,2,0,2018-06-17,0,2,Canceled,6,0.9924205568513174,67.5
11,1,1,111.0,2,0,2018-11-18,0,2,Canceled,11,0.1658249778111956,116.55000000000001
266,1,2,86.7,2,2,2018-10-30,0,2,Not_Canceled,10,0.6176145369298416,82.365
39,1,1,117.9,2,1,2018-03-28,0,0,Not_Canceled,3,0.3144221331549095,123.79500000000002
13,1,1,0.0,1,0,2018-06-01,0,2,Not_Canceled,6,0.071124594796775,0.0
112,1,1,101.58,2,0,2018-05-04,0,4,Not_Canceled,5,0.12573630567866861,106.659
88,1,1,58.9,2,1,2018-04-08,0,2,Not_Canceled,4,0.05503194708392421,61.845
56,0,0,120.0,2,0,2018-06-08,0,1,Not_Canceled,6,0.0,126.0
73,1,0,107.1,2,2,2018-04-07,0,3,Canceled,4,0.6392579219323913,101.74499999999999
80,1,1,126.9,2,1,2018-05-02,0,1,Not_Canceled,5,0.27073161019265024,133.245
130,1,2,139.5,2,0,2018-09-29,0,3,Canceled,9,0.4477420603878827,132.525
69,1,1,80.75,2,1,2018-04-04,0,3,Not_Canceled,4,0.2752194236377152,84.78750000000001
273,1,0,109.0,2,0,2017-07-17,0,2,Canceled,7,1.0,98.10000000000001
55,0,0,104.0,2,0,2018-04-06,0,1,Not_Canceled,4,0.0,109.2
4,1,1,65.0,1,0,2018-11-01,0,3,Not_Canceled,11,0.04909437416902179,68.25
97,1,0,140.4,2,0,2018-05-24,0,3,Not_Canceled,5,0.8623477294557798,126.36000000000001
44,0,0,75.0,2,0,2018-02-17,0,3,Not_Canceled,2,0.0,78.75
31,1,0,94.5,2,0,2018-04-14,0,1,Canceled,4,0.6960048122652049,89.77499999999999
0,1,0,109.0,2,1,2018-06-05,0,0,Not_Canceled,6,0.16817470028465775,114.45
62,1,2,105.0,2,2,2018-11-12,0,2,Not_Canceled,11,0.0,110.25
86,1,1,107.95,2,2,2018-04-17,0,2,Not_Canceled,4,0.4837976396951592,102.5525
3,1,1,215.6,3,2,2018-10-07,0,2,Not_Canceled,10,0.04909437416902179,226.38
197,1,1,85.5,2,1,2018-08-01,0,1,Not_Canceled,8,0.3357098529862831,89.775
143,1,2,105.3,2,0,2018-07-12,0,2,Not_Canceled,7,0.4336544650142153,100.035
23,1,0,1.0,1,2,2018-01-02,0,1,Not_Canceled,1,0.0,1.05
8,1,0,156.0,2,0,2018-06-15,0,2,Canceled,6,0.7721881278036157,140.4
13,1,1,73.15,1,0,2018-11-16,0,2,Not_Canceled,11,0.1658249778111956,76.8075
280,1,0,110.0,2,1,2018-09-19,0,2,Canceled,9,1.0,99.0
11,1,1,87.4,2,1,2017-09-13,0,0,Not_Canceled,9,0.1658249778111956,91.77000000000001
317,1,0,120.0,2,0,2018-09-15,0,2,Canceled,9,1.0,108.0
185,1,0,79.2,2,1,2018-12-16,0,2,Canceled,12,0.9924205568513174,71.28
160,1,1,90.95,2,1,2018-06-30,0,3,Not_Canceled,6,0.3357098529862831,95.4975
104,1,1,91.48,2,0,2018-10-18,0,4,Not_Canceled,10,0.3332501332087102,96.054
11,1,1,150.0,2,0,2018-11-05,0,1,Canceled,11,0.5227981556902477,142.5
2,1,0,89.0,2,0,2018-03-22,0,1,Not_Canceled,3,0.27176243193235494,93.45
14,1,1,91.43,2,1,2018-08-17,0,4,Not_Canceled,8,0.3144221331549095,96.00150000000001
22,0,0,140.0,2,0,2018-05-20,0,2,Not_Canceled,5,0.0,147.0
37,1,0,87.78,1,2,2017-10-24,0,5,Not_Canceled,10,0.0,92.16900000000001
292,1,0,115.0,2,0,2018-07-21,0,2,Canceled,7,1.0,103.5
11,1,1,80.85,2,0,2017-09-09,0,3,Not_Canceled,9,0.1658249778111956,84.8925
86,1,1,82.45,2,1,2018-03-31,0,3,Not_Canceled,3,0.2752194236377152,86.5725
109,1,0,108.0,2,0,2018-10-11,0,1,Canceled,10,0.8352941771370453,97.2
72,1,1,96.3,2,1,2018-04-02,0,1,Not_Canceled,4,0.12573630567866861,101.115
196,1,0,99.45,2,1,2018-08-22,0,5,Canceled,8,0.9795827172875433,89.50500000000001
56,1,1,140.4,2,0,2018-05-13,0,2,Not_Canceled,5,0.38323078777140107,147.42000000000002
189,0,0,72.25,2,1,2018-08-08,0,3,Not_Canceled,8,0.08381130360514956,75.8625
126,1,0,126.0,2,1,2018-08-15,0,4,Not_Canceled,8,0.8623477294557798,113.4
303,1,0,78.0,2,2,2018-08-19,0,3,Canceled,8,0.9924205568513174,70.2
81,1,1,146.6,1,2,2018-11-06,0,2,Not_Canceled,11,0.5227981556902477,139.26999999999998
54,1,0,118.8,2,1,2018-10-10,0,2,Canceled,10,0.8623477294557798,106.92
15,1,0,145.0,1,0,2018-10-06,0,1,Canceled,10,0.9177902071233922,130.5
86,1,0,84.58,2,0,2018-04-06,0,4,Canceled,4,0.6739918084436043,80.351
161,1,0,130.0,2,1,2018-03-25,0,2,Canceled,3,1.0,117.0
147,1,1,118.88,2,4,2018-08-03,0,10,Canceled,8,0.9029440386441712,106.992
92,0,0,101.52,2,1,2018-05-30,0,2,Not_Canceled,5,0.07365865835707708,106.596
87,1,0,100.0,2,0,2017-09-11,0,1,Canceled,9,0.8352941771370453,90.0
109,0,0,58.0,2,2,2018-03-20,0,1,Not_Canceled,3,0.17132160089695078,60.900000000000006
127,0,2,61.5,2,0,2018-03-23,0,4,Not_Canceled,3,0.16877863348245908,64.575
418,1,0,107.0,2,1,2018-09-26,0,2,Canceled,9,1.0,96.3
156,1,1,87.3,2,1,2018-08-24,0,4,Not_Canceled,8,0.3357098529862831,91.665
80,1,1,76.5,2,0,2017-07-16,0,2,Canceled,7,0.8547389961556736,68.85000000000001
211,1,0,63.75,2,2,2018-12-16,0,2,Canceled,12,0.9924205568513174,57.375
273,1,0,95.0,2,1,2018-05-13,0,2,Canceled,5,0.9795827172875433,85.5
58,0,1,75.0,2,2,2018-11-19,0,1,Not_Canceled,11,0.004379475373959659,78.75
433,1,0,70.0,2,0,2018-09-08,0,3,Canceled,9,0.9924205568513174,63.0
111,1,1,101.58,2,1,2018-05-02,0,3,Not_Canceled,5,0.12573630567866861,106.659
34,0,0,85.0,2,2,2018-08-21,0,3,Not_Canceled,8,0.16357578819449187,89.25
17,1,0,98.39,2,2,2018-12-03,0,4,Not_Canceled,12,0.1737209137079884,103.3095
4,1,1,0.0,1,0,2018-02-27,0,0,Not_Canceled,2,0.04909437416902179,0.0
6,1,1,106.07,2,0,2017-09-22,0,3,Not_Canceled,9,0.08539384469750973,111.37349999999999
32,0,1,105.0,2,1,2018-07-18,0,1,Not_Canceled,7,0.004379475373959659,110.25
4,1,2,145.0,2,0,2017-09-22,0,1,Not_Canceled,9,0.0,152.25
195,1,1,106.03,3,2,2018-08-13,0,1,Canceled,8,1.0,95.427
119,1,1,114.3,2,2,2018-08-13,0,2,Not_Canceled,8,0.179589485761191,120.015
13,1,0,88.0,1,1,2018-12-05,0,1,Not_Canceled,12,0.06458256724363177,92.4
59,1,2,89.25,2,0,2017-10-15,0,2,Not_Canceled,10,0.0,93.7125
78,1,1,86.32,2,2,2018-03-20,0,5,Not_Canceled,3,0.2752194236377152,90.636
335,0,1,90.0,2,0,2018-10-13,0,3,Not_Canceled,10,0.15238044358967512,94.5
103,1,0,55.96,2,2,2017-08-22,0,5,Not_Canceled,8,0.7069146613479991,50.364000000000004
0,1,1,109.0,1,0,2018-06-08,0,2,Not_Canceled,6,0.04909437416902179,114.45
118,0,0,86.0,2,0,2018-03-01,0,1,Not_Canceled,3,0.24416063184445858,90.3
56,1,0,118.95,2,1,2018-09-05,0,5,Not_Canceled,9,0.8623477294557798,107.055
107,0,1,130.0,2,0,2018-06-10,0,2,Not_Canceled,6,0.19085911464483457,136.5
70,1,1,90.56,2,1,2018-04-14,0,3,Not_Canceled,4,0.2752194236377152,95.08800000000001
76,1,1,87.3,2,0,2018-04-01,0,2,Not_Canceled,4,0.2752194236377152,91.665
144,1,1,177.65,2,2,2018-05-27,0,2,Canceled,5,0.9029440386441712,159.88500000000002
4,1,2,200.75,1,2,2017-09-19,0,2,Not_Canceled,9,0.0,210.78750000000002
15,1,1,127.0,2,0,2018-03-18,0,2,Not_Canceled,3,0.27073161019265024,133.35
32,1,0,72.9,1,1,2018-02-05,0,2,Canceled,2,0.7529346376560372,65.61000000000001
49,1,0,159.3,3,1,2018-05-07,0,1,Canceled,5,0.8623477294557798,143.37
77,1,1,135.15,2,1,2018-05-12,0,3,Not_Canceled,5,0.27073161019265024,141.9075
22,0,0,90.0,1,0,2018-10-28,0,2,Not_Canceled,10,0.0,94.5
0,1,0,114.0,2,1,2017-10-18,0,0,Not_Canceled,10,0.16817470028465775,119.7
58,1,1,125.1,2,0,2018-06-21,1,1,Not_Canceled,6,0.020156574442349303,131.355
4,1,1,95.13,2,2,2017-08-14,0,6,Not_Canceled,8,0.04909437416902179,99.8865
117,1,0,105.84,2,0,2018-04-29,0,2,Canceled,4,0.7236589100361424,95.256
36,1,0,102.0,2,1,2018-12-26,0,3,Canceled,12,0.8052510233849339,91.8
35,1,2,74.8,2,2,2018-12-02,0,2,Not_Canceled,12,0.0,78.54
31,1,0,94.5,2,1,2018-04-24,0,0,Canceled,4,0.6960048122652049,89.77499999999999
79,1,0,120.6,2,2,2018-06-16,0,4,Not_Canceled,6,0.8623477294557798,108.53999999999999
1,1,0,139.33,2,1,2017-10-09,0,2,Not_Canceled,10,0.16817470028465775,146.2965
21,1,0,105.0,2,0,2017-09-03,0,2,Not_Canceled,9,0.32725569121626147,110.25
12,1,1,100.0,2,0,2018-09-14,0,2,Not_Canceled,9,0.1658249778111956,105.0
33,1,1,80.3,2,1,2018-02-08,0,0,Not_Canceled,2,0.3144221331549095,84.315
164,0,0,100.0,1,0,2017-10-02,0,2,Not_Canceled,10,0.21238872158056726,105.0
78,1,1,105.3,2,0,2018-03-24,1,3,Not_Canceled,3,0.020156574442349303,110.565
18,1,0,112.8,2,0,2018-05-31,0,4,Canceled,5,0.8623477294557798,101.52
21,1,0,151.0,2,1,2018-08-15,0,2,Canceled,8,0.8623477294557798,135.9
0,1,1,91.0,1,1,2017-11-09,0,3,Not_Canceled,11,0.04909437416902179,95.55
152,1,1,146.7,3,2,2018-08-13,0,1,Canceled,8,1.0,132.03
43,0,0,58.4,2,2,2017-10-02,0,3,Not_Canceled,10,0.053259805714054545,61.32
177,1,1,80.75,2,0,2018-07-26,0,4,Canceled,7,0.10842625443487078,84.78750000000001
47,0,0,76.5,2,1,2018-05-21,0,1,Not_Canceled,5,0.08927279193835214,80.325
57,1,0,140.13,3,0,2018-09-07,0,3,Not_Canceled,9,0.8623477294557798,126.117
60,1,1,76.0,2,2,2017-11-15,0,4,Not_Canceled,11,0.3144221331549095,79.8
0,1,0,200.0,2,0,2017-09-16,0,1,Not_Canceled,9,0.16817470028465775,210.0
102,1,0,101.5,2,0,2017-10-16,0,2,Canceled,10,0.8352941771370453,91.35000000000001
71,1,1,108.0,2,0,2018-10-18,0,3,Not_Canceled,10,0.3332501332087102,113.4
111,1,1,189.0,3,2,2018-07-23,0,3,Not_Canceled,7,0.4775371745112604,179.54999999999998
1,1,3,166.0,3,1,2018-06-11,0,1,Not_Canceled,6,0.0,174.3
4,1,0,67.5,2,1,2018-01-16,0,1,Not_Canceled,1,0.0,70.875
25,1,1,78.54,2,1,2017-09-14,0,3,Not_Canceled,9,0.3144221331549095,82.46700000000001
209,1,1,152.1,1,2,2018-11-06,0,2,Canceled,11,1.0,136.89
93,1,0,115.0,1,2,2018-10-15,0,1,Canceled,10,0.9135452906076733,103.5
53,1,2,66.53,2,2,2017-09-02,0,5,Not_Canceled,9,0.33881428040894795,69.85650000000001
1,1,1,0.0,1,0,2017-08-12,0,2,Not_Canceled,8,0.04909437416902179,0.0
4,1,1,0.0,1,2,2017-08-23,0,1,Not_Canceled,8,0.04909437416902179,0.0
302,1,2,90.3,2,0,2018-12-29,0,3,Canceled,12,0.6739918084436044,85.785
122,0,0,85.0,2,0,2018-04-15,0,2,Not_Canceled,4,0.24416063184445858,89.25
16,1,0,75.0,1,0,2018-03-11,0,1,Not_Canceled,3,0.09368601990431044,78.75
28,1,1,115.37,2,2,2018-08-28,0,4,Canceled,8,0.3144221331549095,121.13850000000001
161,1,0,130.0,2,1,2018-03-25,0,2,Canceled,3,1.0,117.0
57,1,2,126.0,3,0,2018-12-09,0,2,Not_Canceled,12,0.0,132.3
19,1,1,94.35,2,1,2018-06-12,0,0,Not_Canceled,6,0.3144221331549095,99.0675
109,1,4,118.46,3,2,2018-07-06,0,4,Not_Canceled,7,0.0,124.383
239,1,0,90.6,1,0,2018-06-15,0,2,Canceled,6,0.9835944064813787,81.53999999999999
33,1,2,82.9,1,2,2018-03-05,0,1,Not_Canceled,3,0.0,87.04500000000002
11,1,1,95.33,2,0,2017-08-18,0,3,Not_Canceled,8,0.1658249778111956,100.0965
40,1,1,135.64,3,2,2018-04-21,0,5,Not_Canceled,4,0.4775371745112604,128.85799999999998
45,0,0,122.4,3,1,2018-06-18,0,1,Not_Canceled,6,0.08927279193835214,128.52
41,1,0,116.1,2,1,2018-05-09,0,3,Canceled,5,0.8623477294557798,104.49
167,1,0,62.18,2,0,2018-06-28,0,4,Canceled,6,0.9924205568513174,55.962
62,1,0,63.75,2,0,2018-03-09,0,4,Canceled,3,0.9148973792751782,57.375
113,1,0,118.8,1,1,2018-09-07,0,4,Canceled,9,0.9135452906076733,106.92
1,1,0,167.0,2,0,2018-08-10,1,2,Not_Canceled,8,0.16817470028465775,175.35
84,1,1,187.85,2,2,2018-05-13,0,2,Not_Canceled,5,0.38323078777140107,197.2425
68,1,1,108.38,0,2,2018-04-24,0,2,Canceled,4,0.4837976396951592,102.96099999999998
9,1,1,0.0,2,0,2018-09-07,0,1,Not_Canceled,9,0.08539384469750973,0.0
245,1,0,128.7,3,1,2018-10-28,0,2,Canceled,10,1.0,115.83
80,1,1,80.33,2,1,2018-03-17,0,3,Not_Canceled,3,0.2752194236377152,84.3465
7,1,1,140.0,2,1,2018-08-22,0,1,Canceled,8,0.2710916512999798,147.0
128,1,2,76.5,2,1,2017-08-08,0,1,Not_Canceled,8,0.16877863348245908,80.325
100,1,1,105.3,2,2,2018-05-01,0,1,Not_Canceled,5,0.4837976396951592,100.035
